year,latitude,longitude,population
2008,14.441666666673427,104.75833333335133,68.01907
2008,14.441666666673427,104.76666666668467,68.01906
2008,14.441666666673427,104.775000000018,68.01907
2008,14.441666666673427,104.78333333335134,68.01907
2008,14.441666666673427,104.79166666668468,67.7393
2008,14.441666666673427,104.800000000018,63.95811
2008,14.441666666673427,104.80833333335134,67.05844
2008,14.441666666673427,104.81666666668467,67.78642
2008,14.441666666673427,104.82500000001801,16.11659
2008,14.433333333340101,104.68333333335133,68.02161
2008,14.433333333340101,104.69166666668467,68.02161
2008,14.433333333340101,104.700000000018,60.25671
2008,14.433333333340101,104.70833333335133,49.3817
2008,14.433333333340101,104.71666666668466,66.25391
2008,14.433333333340101,104.725000000018,68.02161
2008,14.433333333340101,104.73333333335134,68.02161
2008,14.433333333340101,104.74166666668467,68.02161
2008,14.433333333340101,104.750000000018,68.0216
2008,14.433333333340101,104.75833333335133,68.02161
2008,14.433333333340101,104.76666666668467,68.02159
2008,14.433333333340101,104.775000000018,67.41262
2008,14.433333333340101,104.78333333335134,53.40401
2008,14.433333333340101,104.79166666668468,43.09512
2008,14.433333333340101,104.800000000018,42.68684
2008,14.433333333340101,104.80833333335134,47.99509
2008,14.433333333340101,104.81666666668467,65.80904
2008,14.433333333340101,104.82500000001801,61.59835
2008,14.433333333340101,104.83333333335133,16.82934
2008,14.433333333340101,104.84166666668467,66.90764
2008,14.425000000006762,104.64166666668466,56.20213
2008,14.425000000006762,104.650000000018,61.73299
2008,14.425000000006762,104.65833333335132,68.02417
2008,14.425000000006762,104.66666666668466,68.02415
2008,14.425000000006762,104.675000000018,68.02416
2008,14.425000000006762,104.68333333335133,68.02416
2008,14.425000000006762,104.69166666668467,63.13757
2008,14.425000000006762,104.700000000018,44.47141
2008,14.425000000006762,104.70833333335133,42.68845
2008,14.425000000006762,104.71666666668466,45.38697
2008,14.425000000006762,104.725000000018,65.84876
2008,14.425000000006762,104.73333333335134,68.02416
2008,14.425000000006762,104.74166666668467,68.02416
2008,14.425000000006762,104.750000000018,68.02415
2008,14.425000000006762,104.75833333335133,66.36287
2008,14.425000000006762,104.76666666668467,52.56823
2008,14.425000000006762,104.775000000018,46.81797
2008,14.425000000006762,104.78333333335134,42.68844
2008,14.425000000006762,104.79166666668468,42.68845
2008,14.425000000006762,104.800000000018,42.68844
2008,14.425000000006762,104.80833333335134,42.68845
2008,14.425000000006762,104.81666666668467,57.51775
2008,14.425000000006762,104.82500000001801,67.49785
2008,14.425000000006762,104.83333333335133,51.07619
2008,14.425000000006762,104.84166666668467,62.96269
2008,14.425000000006762,104.85000000001801,68.47277
2008,14.425000000006762,104.85833333335134,68.02417
2008,14.425000000006762,104.86666666668468,68.02415
2008,14.416666666673436,104.63333333335133,52.34119
2008,14.416666666673436,104.64166666668466,42.69004
2008,14.416666666673436,104.650000000018,51.64351
2008,14.416666666673436,104.65833333335132,68.0267
2008,14.416666666673436,104.66666666668466,68.02668
2008,14.416666666673436,104.675000000018,68.0267
2008,14.416666666673436,104.68333333335133,68.0267
2008,14.416666666673436,104.69166666668467,48.18333
2008,14.416666666673436,104.700000000018,42.69003
2008,14.416666666673436,104.70833333335133,42.69003
2008,14.416666666673436,104.71666666668466,43.25971
2008,14.416666666673436,104.725000000018,63.22885
2008,14.416666666673436,104.73333333335134,59.3612
2008,14.416666666673436,104.74166666668467,62.88448
2008,14.416666666673436,104.750000000018,68.02669
2008,14.416666666673436,104.75833333335133,47.09339
2008,14.416666666673436,104.76666666668467,42.69003
2008,14.416666666673436,104.775000000018,42.69003
2008,14.416666666673436,104.78333333335134,42.69003
2008,14.416666666673436,104.79166666668468,42.69004
2008,14.416666666673436,104.800000000018,42.69003
2008,14.416666666673436,104.80833333335134,42.69003
2008,14.416666666673436,104.81666666668467,43.11903
2008,14.416666666673436,104.82500000001801,37.5729
2008,14.416666666673436,104.83333333335133,38.76374
2008,14.416666666673436,104.84166666668467,68.0267
2008,14.416666666673436,104.85000000001801,67.54285
2008,14.416666666673436,104.85833333335134,61.8124
2008,14.416666666673436,104.86666666668468,27.17683
2008,14.416666666673436,104.875000000018,44.14964
2008,14.416666666673436,104.88333333335135,65.84262
2008,14.416666666673436,104.89166666668467,68.16409
2008,14.408333333340096,104.62500000001799,52.95513
2008,14.408333333340096,104.63333333335133,42.69164
2008,14.408333333340096,104.64166666668466,42.69164
2008,14.408333333340096,104.650000000018,47.73143
2008,14.408333333340096,104.65833333335132,67.18093
2008,14.408333333340096,104.66666666668466,68.02924
2008,14.408333333340096,104.675000000018,68.02925
2008,14.408333333340096,104.68333333335133,63.89434
2008,14.408333333340096,104.69166666668467,43.40702
2008,14.408333333340096,104.700000000018,42.69164
2008,14.408333333340096,104.70833333335133,42.69164
