ISO_code,Year,Education,Employment,Parliamentary Representation,Poverty,Legal Protection Index,Son Bias,Maternal Mortality,Attitudes Towards Violence,Child Marriage,Access Water Sanitation,Access Electricity,Cell Phone Use,Financial Inclusion
AFG,1995,,,,,0.19791666666666666,105.8,,,,,,0.0,
AFG,1996,,,,,0.19791666666666666,106.0,,,,,,0.0,
AFG,1997,,,,,0.19791666666666666,106.2,,,,,,0.0,
AFG,1998,,,,,0.19791666666666666,106.4,,,,,,0.0,
AFG,1999,,,,,0.19791666666666666,106.5,,,,,,0.0,
AFG,2000,,,,,0.19791666666666666,106.5,1346.1441,,,23.106328479259915,4.4,0.0,
AFG,2001,,,,,0.19791666666666666,106.5,1273.43134,,,23.124455076629193,9.3,0.0,
AFG,2002,,,,,0.19791666666666666,106.5,1277.30797,,,24.89540167503239,14.1,0.119046168,
AFG,2003,,,,,0.19791666666666666,106.5,1196.09069,,,26.666167416585278,19.0,0.883192104,
AFG,2004,,,,,0.19791666666666666,106.4,1114.88723,,,28.44754308490803,23.8,2.547386592,
AFG,2005,,,,,0.19791666666666666,106.3,1102.80976,,,30.23956107419302,28.7,4.915778177,
AFG,2006,,,25.925925925925927,,0.19791666666666666,106.3,1044.40033,,,32.03136775730402,33.5,9.905952707,
AFG,2007,,,25.925925925925927,,0.19791666666666666,106.3,1023.49547,,,33.97018990604027,38.4,18.02123984,
AFG,2008,,48.24035202815238,25.872093023255815,,0.22916666666666666,106.3,962.32152,,,35.92499296903622,42.4,29.88931593,
AFG,2009,,,25.872093023255815,,0.22916666666666666,106.2,913.03576,,,37.895843359179615,48.3,38.34172829,
AFG,2010,,,25.925925925925927,,0.22916666666666666,106.1,898.66925,,,39.88280517640973,42.7,36.23965543,
AFG,2011,,,27.635327635327634,,0.22916666666666666,105.9,883.71393,,,41.88614762305103,43.2,47.17359546,0.026162300258874893
AFG,2012,,16.85825730061699,27.635327635327634,,0.22916666666666666,105.8,833.47718,,,43.90573661248899,69.1,50.35079702,
AFG,2013,,,27.635327635327634,,0.22916666666666666,105.7,820.68535,,,45.94163782073936,68.0,53.28634042,
