Income,Year,Education,Employment,Parliamentary Representation,Poverty,Legal Protection Index,Son Bias,Maternal Mortality,Attitudes Towards Violence,Child Marriage,Access Water Sanitation,Access Electricity,Cell Phone Use,Financial Inclusion
High income,1995,0.9599258847946014,58.35198609558836,13.605559922418154,1.2545454545454546,0.6362847222222222,105.60983606557377,23.26900403508772,3.795881879209358,9.523529411764706,95.74305932857558,98.64170081967214,5.469453483786885,0.795956037652034
High income,1996,0.9602294051367323,58.796503054149625,13.605559922418154,1.2545454545454546,0.6461805555555556,105.65409836065574,23.26900403508772,3.795881879209358,9.523529411764706,95.74305932857558,98.66126452732775,8.185795298163935,0.795956037652034
High income,1997,0.9606006034709856,59.03319001374292,13.605559922418154,1.2545454545454546,0.6539930555555556,105.59180327868853,23.26900403508772,3.795881879209358,9.523529411764706,95.74305932857558,98.7103210949507,11.84820617195082,0.795956037652034
High income,1998,0.960971801805239,59.2319057362942,13.420466220117905,1.2545454545454546,0.6602430555555556,105.58360655737705,23.26900403508772,3.795881879209358,9.523529411764706,95.74305932857558,98.77936081244397,17.622549448770492,0.795956037652034
High income,1999,0.9613503409898564,59.87567157636717,13.768494514177377,1.2545454545454546,0.6664930555555556,105.56065573770492,23.26900403508772,3.795881879209358,9.523529411764706,95.74305932857558,98.80721440549758,27.281063925737705,0.795956037652034
High income,2000,0.9618030689056394,60.378426148855446,14.488844481875296,1.2545454545454546,0.6711805555555556,105.57868852459016,23.26900403508772,3.795881879209358,9.523529411764706,95.74305932857558,98.54590163934427,40.00203237226229,0.795956037652034
High income,2001,0.9632613222366876,60.76171711323898,15.366975563552245,1.2981060606060606,0.6769097222222222,105.50491803278689,22.342625263157895,3.795881879209358,9.523529411764706,95.82617860297982,98.64426229508197,50.44018663288524,0.795956037652034
High income,2002,0.9644475942277463,61.207859213502836,16.20886001224101,1.1928030303030304,0.6826388888888889,105.51311475409837,21.59309105263158,3.795881879209358,9.523529411764706,95.92434328360834,98.74754098360657,58.24220450041894,0.795956037652034
High income,2003,0.9656445545264545,61.59896330374703,16.51080088336396,1.2136363636363636,0.6920138888888889,105.48524590163935,21.320567192982455,3.795881879209358,9.523529411764706,96.01886035088773,98.8360655737705,65.40873675083789,0.795956037652034
High income,2004,0.968129520042578,61.964102826815434,17.228330050309733,1.106818181818182,0.7019097222222223,105.4688524590164,20.256843859649123,3.795881879209358,9.523529411764706,96.11495127541978,98.76885245901639,74.33384161601093,0.795956037652034
High income,2005,0.9713646474932746,62.54205954564772,18.50488960058922,1.0301136363636365,0.7190972222222223,105.44918032786885,19.054211228070177,3.795881879209358,9.523529411764706,96.21529136114704,98.69672131147541,84.10868302052823,0.795956037652034
High income,2006,0.9761917276387576,63.37873469545674,18.560220807517968,0.9443181818181817,0.7253472222222223,105.44590163934426,18.779876666666667,3.782382816220506,9.447058823529412,96.32630323101363,98.94918032786885,94.70433562488161,0.795956037652034
High income,2007,0.9765282956694351,64.13860431983628,19.29153606879119,0.6880681818181817,0.7310763888888889,105.40983606557377,18.11113561403509,3.718262023925643,9.370588235294118,96.43612557999548,99.01147540983607,105.05248129054645,0.795956037652034
High income,2008,0.978302267454682,64.71684820274162,19.83387446950901,0.5886363636363636,0.7414930555555556,105.44590163934426,17.777728771929823,3.6293653899770177,9.294117647058824,96.54548770445716,99.05737704918033,111.66630571489982,0.795956037652034
High income,2009,0.98323484912576,64.32297685581258,20.06668073058548,0.6079545454545454,0.756076388888889,105.44426229508197,17.312521929824563,3.540468756028392,9.217647058823529,96.65654957679234,99.06393442622951,116.69883539253188,0.795956037652034
High income,2010,0.9856429597561859,64.31438151625099,20.57320446951299,0.6454545454545454,0.7690972222222222,105.45573770491804,16.724553684210527,3.4515721220797673,9.267379679144385,96.76427282629876,99.21475409836066,121.68971637295083,0.795956037652034
High income,2011,0.9864638630840825,64.66216260733339,20.428898223520733,0.6166666666666667,0.7800347222222223,105.49016393442622,16.77234842105263,3.421725540796639,9.317112299465242,96.87242588597326,99.17868852459016,124.90986391508196,0.795956037652034
High income,2012,0.9884630379109701,65.12207619023941,21.294562299694217,0.671969696969697,0.7894097222222223,105.52131147540985,16.252407368421053,3.4291713039104743,9.366844919786097,96.98062729034122,99.37377049180328,127.15278487459017,0.811967168863003
High income,2013,0.9908319260736614,65.50618740422746,21.62159221218591,0.6647727272727273,0.7920138888888889,105.45245901639345,15.423259298245613,3.4493243951528196,9.416577540106953,97.08748196130362,99.41475409836066,127.5228380026776,0.8279783000739721
High income,2014,0.9918799620495434,66.29388098388891,22.92134910000294,0.6843181818181818,0.7961805555555556,105.48852459016393,15.31365105263158,3.466173939546633,9.466310160427808,97.18743141945654,99.52459016393442,128.4691780196175,0.8439894312849412
High income,2015,0.9959401436561524,66.90423602990838,22.934202964167604,0.6527272727272727,0.7972222222222223,105.5327868852459,15.128441228070175,3.484830987631313,9.516042780748663,97.2884786364691,99.48196721311474,129.66426719295083,0.8501838751328297
