,ISO Code,Year,Education,Employment,Parliamentary Representation,Poverty,Legal Protection Index,Son Bias,Maternal Mortality,Attitudes Towards Violence,Child Marriage,Access Water Sanitation,Access Electricity,Cell Phone Use,Financial Inclusion,Education (source),Employment (source),Parliamentary Representation (source),Poverty (source),Legal Protection Index (source),Son Bias (source),Maternal Mortality (source),Attitudes Towards Violence (source),Child Marriage (source),Access Water Sanitation (source),Access Electricity (source),Cell Phone Use (source),Financial Inclusion (source),Subregion,Region,Income,Education (score),Employment (score),Parliamentary Representation (score),Poverty (score),Legal Protection Index (score),Son Bias (score),Maternal Mortality (score),Attitudes Towards Violence (score),Child Marriage (score),Access Water Sanitation (score),Access Electricity (score),Cell Phone Use (score),Financial Inclusion (score),Equity,Protection,Resources,WSI (Baseline),included_index,Economy,Conflict Population,Disaster Deaths,Disaster Affected,Conflict Population (score),Disaster Deaths (score),Disaster Affected (score),Shocks,WSI
0,AFG,1995,0.2179861412244731,48.24035202815238,25.925925925925927,4.226653060887359,0.1979166666666666,105.8,1346.1441,7.485015354535181,34.8,23.106328479259915,4.4,0.0,0.0261623002588748,TSI,TSI,TSI,TSI,ORI,ORI,TSI,AVG_REG,TSI,TSI,TSI,ORI,TSI,Southern Asia,South & East Asia & Pacific,Low income,0.0,0.4524238664143306,0.2474747474747475,0.9538070703728158,0.1444444444444444,0.6857142857142857,0.2019700888582789,0.8282495884353063,0.5456919060052219,0.1638623049623111,0.0362903225806451,0.0,0.0183689082645857,0.3596300257412676,0.5654064672532733,0.0546303839518855,0.2231260734786128,True,Afghanistan,,,,,,,,
1,AFG,1996,0.2179861412244731,48.24035202815238,25.925925925925927,4.226653060887359,0.1979166666666666,106.0,1346.1441,7.485015354535181,34.8,23.106328479259915,4.4,0.0,0.0261623002588748,TSI,TSI,TSI,TSI,ORI,ORI,TSI,AVG_REG,TSI,TSI,TSI,ORI,TSI,Southern Asia,South & East Asia & Pacific,Low income,0.0,0.4524238664143306,0.2474747474747475,0.9538070703728158,0.1444444444444444,0.6742857142857142,0.2019700888582789,0.8282495884353063,0.5456919060052219,0.1638623049623111,0.0362903225806451,0.0,0.0183689082645857,0.3596300257412676,0.5625493243961304,0.0546303839518855,0.2227496010051819,True,Afghanistan,,,,,,,,
2,AFG,1997,0.2179861412244731,48.24035202815238,25.925925925925927,4.226653060887359,0.1979166666666666,106.2,1346.1441,7.485015354535181,34.8,23.106328479259915,4.4,0.0,0.0261623002588748,TSI,TSI,TSI,TSI,ORI,ORI,TSI,AVG_REG,TSI,TSI,TSI,ORI,TSI,Southern Asia,South & East Asia & Pacific,Low income,0.0,0.4524238664143306,0.2474747474747475,0.9538070703728158,0.1444444444444444,0.6628571428571426,0.2019700888582789,0.8282495884353063,0.5456919060052219,0.1638623049623111,0.0362903225806451,0.0,0.0183689082645857,0.3596300257412676,0.5596921815389875,0.0546303839518855,0.2223718516482757,True,Afghanistan,,,,,,,,
3,AFG,1998,0.2179861412244731,48.24035202815238,25.925925925925927,4.226653060887359,0.1979166666666666,106.4,1346.1441,7.485015354535181,34.8,23.106328479259915,4.4,0.0,0.0261623002588748,TSI,TSI,TSI,TSI,ORI,ORI,TSI,AVG_REG,TSI,TSI,TSI,ORI,TSI,Southern Asia,South & East Asia & Pacific,Low income,0.0,0.4524238664143306,0.2474747474747475,0.9538070703728158,0.1444444444444444,0.651428571428571,0.2019700888582789,0.8282495884353063,0.5456919060052219,0.1638623049623111,0.0362903225806451,0.0,0.0183689082645857,0.3596300257412676,0.5568350386818446,0.0546303839518855,0.2219928145254683,True,Afghanistan,,,,,,,,
4,AFG,1999,0.2179861412244731,48.24035202815238,25.925925925925927,4.226653060887359,0.1979166666666666,106.5,1346.1441,7.485015354535181,34.8,23.106328479259915,4.4,0.0,0.0261623002588748,TSI,TSI,TSI,TSI,ORI,ORI,TSI,AVG_REG,TSI,TSI,TSI,ORI,TSI,Southern Asia,South & East Asia & Pacific,Low income,0.0,0.4524238664143306,0.2474747474747475,0.9538070703728158,0.1444444444444444,0.6457142857142856,0.2019700888582789,0.8282495884353063,0.5456919060052219,0.1638623049623111,0.0362903225806451,0.0,0.0183689082645857,0.3596300257412676,0.5554064672532733,0.0546303839518855,0.2218028096103848,True,Afghanistan,,,,,,,,
5,AFG,2000,0.2179861412244731,48.24035202815238,25.925925925925927,4.226653060887359,0.1979166666666666,106.5,1346.1441,7.485015354535181,34.8,23.106328479259915,4.4,0.0,0.0261623002588748,TSI,TSI,TSI,TSI,ORI,ORI,ORI,AVG_REG,TSI,ORI,ORI,ORI,TSI,Southern Asia,South & East Asia & Pacific,Low income,0.0,0.4524238664143306,0.2474747474747475,0.9538070703728158,0.1444444444444444,0.6457142857142856,0.2019700888582789,0.8282495884353063,0.5456919060052219,0.1638623049623111,0.0362903225806451,0.0,0.0183689082645857,0.3596300257412676,0.5554064672532733,0.0546303839518855,0.2218028096103848,True,Afghanistan,100.0,0.0027503513487436,0.0110014053949746,1.0,0.0095996554738826,0.0001853155581195,0.3365949903440007,0.05350531443838444
6,AFG,2001,0.2179861412244731,48.24035202815238,25.925925925925927,4.226653060887359,0.1979166666666666,106.5,1273.43134,7.485015354535181,34.8,23.124455076629197,9.3,0.0,0.0261623002588748,TSI,TSI,TSI,TSI,ORI,ORI,ORI,AVG_REG,TSI,ORI,ORI,ORI,TSI,Southern Asia,South & East Asia & Pacific,Low income,0.0,0.4524238664143306,0.2474747474747475,0.9538070703728158,0.1444444444444444,0.6457142857142856,0.2451108165860742,0.8282495884353063,0.5456919060052219,0.1640594126181621,0.0856854838709677,0.0,0.0183689082645857,0.3596300257412676,0.5661916491852219,0.0670284511884288,0.2389788843649577,True,Afghanistan,100.0,0.0024239460682495,1.0230301864749207,1.0,0.0084603907617466,0.0172326537540676,0.3383625540644243,0.06979760733274556
7,AFG,2002,0.2179861412244731,48.24035202815238,25.925925925925927,4.226653060887359,0.1979166666666666,106.5,1277.30797,7.485015354535181,34.8,24.89540167503239,14.1,0.119046168,0.0261623002588748,TSI,TSI,TSI,TSI,ORI,ORI,ORI,AVG_REG,TSI,ORI,ORI,ORI,TSI,Southern Asia,South & East Asia & Pacific,Low income,0.0,0.4524238664143306,0.2474747474747475,0.9538070703728158,0.1444444444444444,0.6457142857142856,0.2428107988267235,0.8282495884353063,0.5456919060052219,0.1833165917531743,0.1340725806451612,0.0003726874679918,0.0183689082645857,0.3596300257412676,0.5656166447453843,0.0840326920327283,0.2575977907160693,True,Afghanistan,70.6921321433287,0.0199563052732019,13.1004170347372,0.706921321433287,0.0696542480806606,0.2206728147205556,0.3363804120690054,0.08940758468156662
8,AFG,2003,0.2179861412244731,48.24035202815238,25.925925925925927,4.226653060887359,0.1979166666666666,106.5,1196.09069,7.485015354535181,34.8,26.66616741658528,19.0,0.883192104,0.0261623002588748,TSI,TSI,TSI,TSI,ORI,ORI,ORI,AVG_REG,TSI,ORI,ORI,ORI,TSI,Southern Asia,South & East Asia & Pacific,Low income,0.0,0.4524238664143306,0.2474747474747475,0.9538070703728158,0.1444444444444444,0.6457142857142856,0.2909972871854671,0.8282495884353063,0.5456919060052219,0.2025718042604141,0.1834677419354838,0.0027649325847277,0.0183689082645857,0.3596300257412676,0.5776632668350703,0.1017933467613028,0.2765349513860186,True,Afghanistan,75.70996568271222,0.000693808828456,0.0201339717816235,0.7570996568271222,0.0024216272299022,0.0003391510524263,0.3086825452803871,0.12219367874582504
9,AFG,2004,0.2179861412244731,48.24035202815238,25.925925925925927,4.226653060887359,0.1979166666666666,106.4,1114.88723,7.485015354535181,34.8,28.44754308490803,23.8,2.547386592,0.0261623002588748,TSI,TSI,TSI,TSI,ORI,ORI,ORI,AVG_REG,TSI,ORI,ORI,ORI,TSI,Southern Asia,South & East Asia & Pacific,Low income,0.0,0.4524238664143306,0.2474747474747475,0.9538070703728158,0.1444444444444444,0.651428571428571,0.3391755760912234,0.8282495884353063,0.5456919060052219,0.2219423885471308,0.2318548387096774,0.0079748812995721,0.0183689082645857,0.3596300257412676,0.5911364104900807,0.1200352542052415,0.2944088247353371,True,Afghanistan,75.35250373869825,7.73535394530125e-05,0.0130641533298421,0.7535250373869825,0.0002699899882876,0.000220061962882,0.2895678178911638,0.14962491578975518
